CodigoNacional;NombreEstacion;Latitud;Altura;Año;Mes;Dia;T.Maxima;T.Minima
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;01;22.8;27.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;02;21.4;27.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;03;23.2;27.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;04;20.4;27.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;05;19.5;26.6
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;06;20.9;26.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;07;21.8;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;08;21.0;26.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;09;21.6;26.8
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;10;21.3;27.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;11;21.2;26.2
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;12;21.4;26.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;13;22.0;27.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;14;21.0;27.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;15;20.9;26.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;16;22.0;27.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;17;21.0;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;18;21.6;26.7
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;19;21.2;27.4
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;20;21.4;27.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;21;22.7;28.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;22;23.4;27.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;23;23.4;28.5
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;24;23.3;28.1
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;25;23.0;28.0
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;26;22.6;27.9
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;27;21.8;28.3
180005;Chacalluta, Arica Ap.;18&deg 21' 5'' S;63;2016;02;28;21.9;28.0
